id,ride_style,speed,poster,staff,time,is_female,is_staff,is_raining,day,week,total_passenger,total_passenger_per_minute
1,ls,0,0,0,40,1,0,0,Mon,1,351,15
2,ls,0,0,0,40,0,0,0,Mon,1,351,15
3,ls,0,0,0,40,0,0,0,Mon,1,351,15
4,ls,0,0,0,40,0,0,0,Mon,1,351,15
5,ls,0,0,0,40,0,0,0,Mon,1,351,15
6,ls,0,0,0,40,0,0,0,Mon,1,351,15
7,ls,0,0,0,40,1,0,0,Mon,1,351,15
8,ls,0,0,0,40,1,0,0,Mon,1,351,15
9,ls,0,0,0,40,1,0,0,Mon,1,351,15
10,ls,0,0,0,40,1,0,0,Mon,1,351,15
11,ls,0,0,0,40,1,0,0,Mon,1,351,15
12,ls,0,0,0,40,1,0,0,Mon,1,351,15
13,ls,0,0,0,40,1,0,0,Mon,1,351,15
14,ls,0,0,0,40,1,0,0,Mon,1,351,15
15,ls,0,0,0,40,0,0,0,Mon,1,351,15
16,ls,0,0,0,41,0,0,0,Mon,1,351,26
17,ls,0,0,0,41,0,0,0,Mon,1,351,26
18,ls,0,0,0,41,0,0,0,Mon,1,351,26
19,ls,0,0,0,41,1,0,0,Mon,1,351,26
20,ls,0,0,0,41,1,0,0,Mon,1,351,26
21,ls,0,0,0,41,1,0,0,Mon,1,351,26
22,ls,0,0,0,41,0,0,0,Mon,1,351,26
23,ls,0,0,0,41,1,0,0,Mon,1,351,26
24,ls,0,0,0,41,1,0,0,Mon,1,351,26
25,ls,0,0,0,41,1,0,0,Mon,1,351,26
26,ls,0,0,0,41,1,0,0,Mon,1,351,26
27,ls,0,0,0,41,1,0,0,Mon,1,351,26
28,ls,0,0,0,41,1,0,0,Mon,1,351,26
29,ls,0,0,0,41,0,0,0,Mon,1,351,26
30,ls,0,0,0,41,0,0,0,Mon,1,351,26
31,rw,0,0,0,41,0,0,0,Mon,1,351,26
32,rw,0,0,0,41,0,0,0,Mon,1,351,26
33,ls,0,0,0,41,1,0,0,Mon,1,351,26
34,ls,0,0,0,41,1,0,0,Mon,1,351,26
35,ls,0,0,0,41,0,0,0,Mon,1,351,26
36,ls,0,0,0,41,1,0,0,Mon,1,351,26
37,ls,0,0,0,41,1,0,0,Mon,1,351,26
38,ls,0,0,0,41,1,0,0,Mon,1,351,26
39,ls,0,0,0,41,0,0,0,Mon,1,351,26
40,ls,0,0,0,41,1,0,0,Mon,1,351,26
41,ls,0,0,0,41,1,0,0,Mon,1,351,26
42,ls,0,0,0,42,1,0,0,Mon,1,351,13
43,ls,0,0,0,42,1,0,0,Mon,1,351,13
44,ls,0,0,0,42,0,0,0,Mon,1,351,13
45,ls,0,0,0,42,0,0,0,Mon,1,351,13
46,ls,0,0,0,42,1,0,0,Mon,1,351,13
47,ls,0,0,0,42,1,0,0,Mon,1,351,13
48,rw,0,0,0,42,0,0,0,Mon,1,351,13
49,ls,0,0,0,42,0,0,0,Mon,1,351,13
50,ls,0,0,0,42,0,0,0,Mon,1,351,13
51,ls,0,0,0,42,1,0,0,Mon,1,351,13
52,ls,0,0,0,42,1,0,0,Mon,1,351,13
53,ls,0,0,0,42,0,0,0,Mon,1,351,13
54,ls,0,0,0,42,1,0,0,Mon,1,351,13
55,ls,0,0,0,43,1,0,0,Mon,1,351,22
56,ls,0,0,0,43,0,0,0,Mon,1,351,22
57,ls,0,0,0,43,1,0,0,Mon,1,351,22
58,ls,0,0,0,43,1,0,0,Mon,1,351,22
59,ls,0,0,0,43,0,0,0,Mon,1,351,22
60,ls,0,0,0,43,1,0,0,Mon,1,351,22
61,ls,0,0,0,43,1,0,0,Mon,1,351,22
62,ls,0,0,0,43,1,0,0,Mon,1,351,22
63,ls,0,0,0,43,0,0,0,Mon,1,351,22
